time_scan_scan,score,
81.6827,0.222043,
99.6927,0.221715,
106.486,0.194112,
161.547,0.17141,
89.4322,0.163697,
87.6557,0.208782,
101.316,0.213056,
33.5991,0.19572,
89.4279,0.17806,
27.1568,0.190251,
27.8493,0.161365,
101.981,0.219903,
32.6358,5.05919,
31.7011,0.36502,
86.6017,0.294281,
85.5298,0.650923,
82.0626,0.267167,
27.0689,0.754801,
82.8689,2.1139,
103.611,0.713287,
35.2366,0.23824,
93.0183,0.222007,
103.548,0.297246,
80.7805,0.423799,
27.9793,0.371827,
25.2861,0.195969,
26.2516,0.373919,
124.886,0.237228,
80.0212,0.238145,
25.0657,0.167033,
23.7417,0.19309,
64.7731,0.1938,
69.9975,0.150105,
24.3963,0.333423,
69.7248,0.193344,
63.2135,0.40772,
22.1614,1.22768,
61.3447,0.282939,
21.459,0.240253,
31.6178,0.182118,
21.8359,0.356543,
67.4955,0.355147,
62.206,0.122641,
75.685,0.210908,
22.0465,0.176647,
62.9524,0.297477,
102.529,0.323246,
60.4427,2.12635,
22.682,1.19155,
70.0263,0.198815,
22.0544,0.259201,
64.2873,0.954705,
21.7906,1.52497,
67.3332,0.423725,
21.413,0.736025,
21.5723,0.316212,
24.7405,0.631632,
24.812,0.967667,
130.558,0.177518,
77.1069,0.291353,
25.9894,0.293262,
123.003,0.340519,
23.1149,0.258249,
22.59,0.318364,
74.1327,0.243454,
68.9194,0.191003,
20.3174,0.154252,
59.7686,0.186451,
74.1651,0.122187,
71.3703,0.199408,
112.213,0.116039,
108.343,0.437936,
43.0917,0.210196,
70.5615,0.155692,
69.363,0.224477,
61.9706,0.144684,
73.8442,0.191501,
63.3744,0.0979454,
70.7873,0.171981,
25.9167,0.115784,
22.5934,0.133216,
63.0301,0.158857,
72.7847,0.258203,
63.8088,0.183977,
26.9578,0.279071,
23.3716,0.193624,
30.4834,0.462288,
31.1143,0.795778,
25.2649,0.396241,
25.2325,0.34705,
34.4368,0.184681,
85.0422,0.611701,
25.687,0.214565,
77.9993,0.233646,
33.0669,0.73987,
116.773,0.5462,
38.991,1.06463,
58.6355,0.142107,
29.4297,0.300869,
61.219,0.401057,
46.6533,0.491561,
121.344,0.162693,
102.901,0.239485,
115.018,0.124548,
97.3288,0.15933,
129.213,0.150256,
31.0466,0.226094,
118.863,0.104726,
93.9561,0.166913,
112.029,0.196416,
89.2881,0.135318,
60.6829,0.184722,
28.7936,0.28235,
76.0122,0.18119,
38.1068,0.262487,
53.0081,0.353596,
37.5744,0.426412,
64.3555,0.264262,
31.1818,0.344798,
62.8904,0.224948,
27.5292,0.388694,
48.8647,0.1505,
27.8542,0.162581,
49.894,0.179011,
82.7514,0.266186,
47.077,0.132839,
22.7804,0.163641,
49.9119,0.44062,
25.4139,0.186326,
90.7784,0.1687,
24.2386,0.1193,
21.265,0.142957,
24.3399,0.0966846,
28.7332,0.120841,
63.9275,0.102868,
60.9004,0.0991407,
20.7002,0.158607,
34.542,0.102398,
106.709,0.409764,
18.918,0.147016,
67.8679,0.120164,
32.2946,0.458721,
64.1035,0.334919,
25.3758,0.503805,
75.1406,0.28763,
68.2432,0.138045,
21.4005,1.50237,
77.7361,0.135679,
37.2442,0.239863,
66.7193,0.119605,
61.5379,0.162318,
60.584,0.169313,
61.2799,0.841421,
18.1693,2.06968,
55.8772,0.80427,
17.8692,0.1146,
54.73,0.160544,
53.481,0.0956748,
59.2431,0.313821,
51.9148,0.213802,
18.1277,0.349818,
57.3622,0.415126,
60.9838,3.69916,
58.5707,0.828464,
28.2502,0.235556,
63.8728,0.232693,
63.1483,0.698686,
18.9044,0.170906,
105.495,0.423871,
58.1598,0.876796,
62.1857,0.13115,
18.7846,0.176664,
59.1002,0.168806,
65.3273,0.162321,
19.2096,0.720035,
58.2682,0.176858,
58.0927,0.201213,
63.621,3.09468,
63.7231,1.52983,
20.5787,0.433556,
63.4311,0.216573,
62.0587,0.170218,
25.3946,0.152962,
18.8153,0.943564,
20.8972,0.319681,
58.251,0.256491,
22.822,0.103282,
19.5324,0.280721,
19.6721,0.196182,
34.6272,0.304838,
20.4818,0.545247,
23.2666,1.64831,
70.9754,0.570762,
77.809,0.581794,
25.3798,0.235335,
25.1809,0.219155,
26.9905,0.190916,
24.4707,0.244168,
24.6386,0.273602,
24.5896,0.161742,
26.3441,0.228058,
25.2062,0.122196,
24.2727,0.157361,
50.2511,0.120282,
145.254,0.168565,
55.7696,0.0911928,
97.0487,0.149101,
98.9403,0.150714,
23.9774,0.356755,
54.3327,0.159436,
24.0338,0.173489,
57.1134,0.181669,
26.8221,0.275514,
48.3076,0.192476,
76.7873,0.642844,
43.0921,0.201708,
23.6641,0.558819,
41.7108,0.213628,
21.1166,0.830744,
75.8968,0.56219,
25.4009,0.148535,
62.9324,0.0877678,
20.509,0.176764,
20.1597,0.282203,
20.3717,0.262536,
20.2345,0.150495,
55.0338,0.298752,
91.747,0.358987,
54.6137,0.122854,
17.301,0.92564,
86.3456,1.03332,
23.2596,2.66161,
54.2955,0.147659,
51.0019,0.178752,
25.2215,0.204113,
25.0769,0.297638,
18.5616,0.236766,
55.4603,0.0949512,
24.7463,0.130418,
83.4502,1.38825,
53.4689,0.837237,
51.3211,0.343389,
17.6519,0.654248,
91.0441,0.474844,
58.2932,0.1551,
18.6839,0.138889,
56.3865,0.262462,
22.6476,0.206833,
22.1039,0.220639,
53.6329,0.310174,
55.5907,0.113793,
29.2818,0.128687,
87.7102,0.206561,
53.5455,0.243454,
59.6823,1.77273,
64.9945,3.26055,
